Wall time,Step,Value
1618073007.662532,5,13.43990421295166
1618073011.216142,18,17.214298248291016
1618073012.846428,24,17.600296020507812
1618073017.180732,40,18.13576889038086
1618073017.725981,42,18.314889907836914
1618073018.54842,45,18.339519500732422
1618073020.703468,53,18.59955596923828
1618073021.528973,56,18.684215545654297
1618073025.712503,71,19.3804931640625
1618073026.623403,74,19.406084060668945
1618073033.082715,94,20.09393882751465
1618073046.399809,102,20.5690975189209
1618073047.457295,105,20.5086727142334
1618073047.806537,106,20.490886688232422
1618073050.235458,113,20.770225524902344
1618073054.654896,126,21.15479850769043
1618073058.940454,139,21.454532623291016
1618073062.496747,150,21.50657844543457
1618073064.113242,155,21.765186309814453
1618073065.083353,158,21.78272247314453
1618073068.012521,167,22.014860153198242
1618073071.676612,178,22.1624813079834
1618073073.332981,183,22.114883422851562
1618073074.005923,185,22.266164779663086
1618073074.344421,186,22.19736671447754
1618073075.695291,190,22.34067153930664
1618073078.456027,198,22.35748291015625
1618073092.027901,206,22.549253463745117
1618073092.371766,207,22.53537940979004
1618073094.110173,212,22.669843673706055
1618073097.949757,223,22.796669006347656
1618073100.087164,229,22.807851791381836
1618073101.876175,234,22.9086856842041
1618073107.217605,249,22.974536895751953
1618073109.356914,255,22.995418548583984
1618073111.130993,260,23.110816955566406
1618073113.64148,267,23.152700424194336
1618073115.061522,271,23.188833236694336
1618073115.776578,273,23.328065872192383
1618073122.536277,292,23.414384841918945
1618073124.311728,297,23.479373931884766
1618073124.670033,298,23.58096694946289
1618073137.254176,303,23.477994918823242
1618073139.032005,308,23.640493392944336
1618073139.742852,310,23.587108612060547
1618073142.618334,318,23.725589752197266
1618073142.980259,319,23.64519500732422
1618073146.951453,330,23.659454345703125
1618073150.252067,339,23.80527114868164
1618073153.149616,347,23.987545013427734
1618073159.007403,363,24.087512969970703
1618073160.497219,367,24.034605026245117
1618073164.193297,377,24.214054107666016
1618073191.335496,421,24.531856536865234
1618073191.705986,422,24.688339233398438
1618073194.69277,430,24.644691467285156
1618073198.043471,439,24.70751953125
1618073198.783404,441,24.81151580810547
1618073199.153301,442,24.646860122680664
1618073200.270158,445,24.818058013916016
1618073202.508183,451,24.82316017150879
1618073205.871993,460,24.835128784179688
1618073206.990392,463,24.978334426879883
1618073207.367572,464,24.93370246887207
1618073211.09382,474,25.00490379333496
1618073217.437459,491,25.137516021728516
1618073218.183228,493,25.13751220703125
1618073236.115605,512,25.459192276000977
1618073236.857604,514,25.409975051879883
1618073237.991861,517,25.491291046142578
1618073240.95271,525,25.562387466430664
1618073243.203324,531,25.35744285583496
1618073243.94832,533,25.334716796875
1618073245.06456,536,25.461368560791016
1618073247.295156,542,25.55644416809082
1618073249.152322,547,25.557579040527344
1618073252.876072,557,25.631200790405273
1618073255.114251,563,25.70534896850586
1618073257.368301,569,25.75006103515625
1618073258.885438,573,25.830930709838867
1618073261.123469,579,25.721227645874023
1618073261.871028,581,25.718740463256836
1618073263.002143,584,25.77014923095703
1618073263.753907,586,25.883039474487305
1618073264.127624,587,25.892210006713867
1618073266.012473,592,25.84683609008789
1618073266.382028,593,25.752689361572266
1618073280.603869,602,25.8558349609375
1618073285.490721,615,25.924468994140625
1618073287.356564,620,25.976938247680664
1618073288.103207,622,26.053930282592773
1618073292.635649,634,26.086414337158203
1618073295.277556,641,26.049198150634766
1618073295.662327,642,26.125791549682617
1618073296.407682,644,26.15898323059082
1618073297.535225,647,26.251277923583984
1618073298.285231,649,26.054399490356445
1618073302.78684,661,26.286033630371094
1618073303.923373,664,26.242883682250977
1618073305.426751,668,26.24734115600586
1618073306.564542,671,26.31169319152832
1618073307.693293,674,26.285364151000977
1618073309.204236,678,26.28508758544922
1618073309.58527,679,26.328495025634766
1618073311.120014,683,26.219947814941406
1618073313.023276,688,26.338878631591797
1618073330.651619,706,26.2273006439209
1618073333.671322,714,26.474525451660156
1618073335.190121,718,26.53923988342285
1618073336.707782,722,26.554027557373047
1618073337.093463,723,26.542510986328125
1618073339.736303,730,26.537817001342773
1618073343.143012,739,26.547454833984375
1618073344.654527,743,26.591415405273438
1618073346.165523,747,26.731874465942383
1618073348.060534,752,26.74651336669922
1618073349.567099,756,26.817502975463867
1618073353.009381,765,26.995223999023438
1618073354.520683,769,26.89716911315918
1618073354.903519,770,27.115251541137695
1618073355.278352,771,26.901952743530273
1618073356.032409,773,26.943790435791016
1618073356.409441,774,26.88505744934082
1618073358.713593,780,27.010818481445312
1618073360.226583,784,27.10227394104004
1618073360.60275,785,26.973554611206055
1618073361.35943,787,27.000385284423828
1618073363.250589,792,27.151521682739258
1618073363.626092,793,27.089590072631836
1618073364.004344,794,27.104660034179688
1618073365.505522,798,27.167648315429688
1618073377.787559,802,27.156177520751953
1618073379.658371,807,27.114595413208008
1618073380.034054,808,27.099811553955078
1618073380.413807,809,27.266183853149414
1618073389.097963,832,27.214431762695312
1618073390.618523,836,27.248865127563477
1618073391.383653,838,27.29009246826172
1618073393.26609,843,27.410892486572266
1618073403.0722,869,27.514455795288086
1618073404.949764,874,27.474634170532227
1618073405.715136,876,27.462678909301758
1618073407.985023,882,27.607912063598633
1618073410.996826,890,27.553804397583008
1618073413.29119,896,27.626110076904297
1618073425.578653,900,27.533870697021484
1618073428.215147,907,27.690561294555664
1618073428.960947,909,27.67278480529785
1618073431.225734,915,27.778465270996094
1618073431.971534,917,27.727460861206055
1618073433.096515,920,27.75311851501465
1618073434.237499,923,27.6760196685791
1618073437.262132,931,27.676265716552734
1618073437.647371,932,27.679615020751953
1618073438.780369,935,27.68934440612793
1618073441.417218,942,27.843252182006836
1618073442.554432,945,27.90534210205078
1618073445.963149,954,27.663000106811523
1618073447.473112,958,27.960678100585938
1618073448.601785,961,27.829130172729492
1618073448.978467,962,27.81312370300293
1618073452.413852,971,27.800954818725586
1618073452.789778,972,27.858964920043945
1618073454.314439,976,27.754911422729492
1618073455.0783,978,27.73744010925293
1618073455.455381,979,27.74171257019043
1618073457.391399,984,27.843669891357422
1618073458.548381,987,27.890241622924805
1618073458.930155,988,27.94707489013672
1618073461.946044,996,27.953359603881836
1618073474.282034,1000,27.983552932739258
1618073475.036392,1002,27.9957218170166
1618073476.171122,1005,28.060239791870117
1618073479.559437,1014,27.988121032714844
1618073480.70101,1017,28.113271713256836
1618073483.744335,1025,28.034908294677734
1618073488.307997,1037,28.12098503112793
1618073490.996315,1044,28.072296142578125
1618073495.93445,1057,27.844011306762695
1618073498.211307,1063,27.952301025390625
1618073499.342899,1066,28.031097412109375
1618073500.109929,1068,28.29065704345703
1618073501.628238,1072,28.180925369262695
1618073503.136666,1076,28.14443588256836
1618073503.902926,1078,28.162935256958008
1618073505.80976,1083,28.278886795043945
1618073506.184259,1084,28.404449462890625
1618073509.61079,1093,28.201730728149414
1618073522.702466,1099,28.418251037597656
1618073524.329126,1103,28.140625
1618073524.706202,1104,28.18963050842285
1618073528.492376,1114,28.359725952148438
1618073530.380395,1119,28.365413665771484
1618073535.701549,1133,28.502450942993164
1618073544.147361,1155,28.500959396362305
1618073544.5279,1156,28.324077606201172
1618073546.044314,1160,28.520076751708984
1618073546.424618,1161,28.56092071533203
1618073546.805514,1162,28.6632137298584
1618073553.690198,1180,28.573196411132812
1618073558.307982,1192,28.607831954956055
1618073558.693758,1193,28.624433517456055
1618073571.748672,1199,28.63878059387207
1618073572.591839,1201,28.48764419555664
1618073574.495148,1206,28.591699600219727
1618073584.441417,1232,28.617015838623047
1618073585.205215,1234,28.715177536010742
1618073589.084784,1244,28.657655715942383
1618073593.316763,1255,28.842641830444336
1618073594.468414,1258,28.675533294677734
1618073595.631371,1261,28.662614822387695
1618073603.309226,1281,28.65363121032715
1618073605.62786,1287,28.742298126220703
1618073608.313232,1294,28.864456176757812
1618073621.338726,1300,28.783113479614258
1618073625.190983,1310,28.806461334228516
1618073627.110864,1315,28.898298263549805
1618073627.492616,1316,29.045196533203125
1618073628.643294,1319,28.846302032470703
1618073631.729233,1327,28.949045181274414
1618073632.89035,1330,28.82006072998047
1618073634.044205,1333,28.81507682800293
1618073635.20127,1336,28.797502517700195
1618073635.587833,1337,28.90216636657715
1618073642.55593,1355,29.116268157958984
1618073648.421118,1370,28.926830291748047
1618073654.258455,1385,29.1634521484375
1618073655.456343,1388,29.147079467773438
1618073655.849601,1389,29.128067016601562
1618073656.639163,1391,29.08343505859375
1618073657.030851,1392,29.226335525512695
1618073676.345121,1414,28.855817794799805
1618073678.290239,1419,29.038888931274414
1618073679.470511,1422,29.189231872558594
1618073681.043021,1426,29.02089500427246
1618073681.824987,1428,29.06321907043457
1618073683.377339,1432,28.96769142150879
1618073684.94524,1436,29.211177825927734
1618073686.517131,1440,29.198383331298828
1618073696.282986,1465,29.294979095458984
1618073696.671469,1466,29.03558921813965
1618073700.959685,1477,29.302392959594727
1618073704.070237,1485,29.244783401489258
1618073704.4557,1486,29.27608871459961
1618073705.618104,1489,29.26544189453125
1618073706.401292,1491,29.394533157348633
1618073721.073569,1501,29.188814163208008
1618073723.814557,1508,29.33401107788086
1618073729.678703,1523,29.382442474365234
1618073730.07236,1524,29.343585968017578
1618073731.260182,1527,29.444002151489258
1618073740.617832,1551,29.550846099853516
1618073741.003101,1552,29.33689308166504
1618073741.779205,1554,29.41476821899414
1618073744.524393,1561,29.491886138916016
1618073747.279305,1568,29.33966827392578
1618073747.671448,1569,29.511680603027344
1618073751.214418,1578,29.493410110473633
1618073752.786716,1582,29.5473575592041
1618073753.584351,1584,29.595243453979492
1618073755.162271,1588,29.58200454711914
1618073758.691294,1597,29.383102416992188
1618073772.258681,1604,29.660066604614258
1618073772.648297,1605,29.551801681518555
1618073774.60288,1610,29.474397659301758
1618073777.748612,1618,29.684024810791016
1618073781.265485,1627,29.64582633972168
1618073781.665951,1628,29.568805694580078
1618073783.236758,1632,29.569082260131836
1618073785.192951,1637,29.587148666381836
1618073786.357911,1640,29.65328025817871
1618073787.165339,1642,29.662979125976562
1618073788.334565,1645,29.64623260498047
1618073789.527543,1648,29.687524795532227
1618073791.111573,1652,29.53231430053711
1618073794.262144,1660,29.726547241210938
